Ucode,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
F140,60%,50%,40%,70%,20%,20%,60%,50%,50%,60%,20%,60%,40%,50%,30%,30%,30%,90%,80%,70%,90%,90%,80%,70%,40%,30%,20%,20%,20%,80%,70%,50%,30%,80%,50%,40%,10%,10%,20%,20%,70%,20%,10%,70%,80%,70%,60%,30%,70%,40%,50%,50%,10%,80%,70%,70%,50%,30%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F141,80%,30%,50%,60%,10%,10%,30%,80%,70%,60%,40%,30%,70%,30%,30%,50%,40%,60%,90%,70%,10%,100%,90%,70%,60%,50%,40%,30%,30%,40%,40%,30%,20%,60%,60%,50%,50%,30%,20%,10%,10%,10%,70%,60%,70%,40%,50%,50%,90%,70%,30%,40%,10%,40%,30%,10%,0%,40%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F142,10%,80%,10%,80%,0%,20%,10%,80%,80%,10%,90%,60%,10%,0%,30%,40%,70%,50%,70%,60%,90%,100%,100%,100%,90%,80%,70%,60%,50%,100%,100%,100%,100%,100%,90%,80%,60%,50%,10%,20%,20%,20%,60%,70%,50%,50%,60%,40%,70%,50%,70%,70%,40%,30%,20%,20%,10%,60%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F143,50%,40%,60%,70%,40%,30%,10%,80%,10%,10%,80%,90%,30%,70%,60%,90%,20%,80%,80%,90%,10%,100%,90%,50%,20%,10%,0%,0%,0%,100%,100%,100%,90%,100%,90%,60%,30%,10%,10%,20%,30%,20%,10%,80%,70%,80%,10%,0%,10%,60%,80%,60%,20%,10%,0%,0%,0%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F144,10%,90%,0%,10%,0%,0%,10%,90%,70%,90%,10%,80%,10%,0%,20%,50%,40%,80%,90%,80%,90%,100%,100%,90%,80%,70%,50%,40%,30%,100%,100%,90%,70%,100%,100%,80%,80%,60%,80%,40%,30%,30%,90%,90%,60%,50%,80%,10%,60%,60%,80%,60%,40%,0%,0%,0%,0%,10%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F145,10%,80%,10%,0%,0%,0%,10%,70%,10%,0%,90%,50%,10%,0%,10%,40%,80%,10%,10%,0%,60%,100%,80%,70%,30%,20%,10%,10%,0%,90%,80%,60%,40%,80%,20%,0%,0%,0%,70%,60%,40%,50%,10%,10%,60%,30%,70%,10%,60%,50%,80%,60%,0%,10%,10%,0%,0%,40%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F146,10%,90%,10%,90%,0%,0%,10%,90%,90%,20%,10%,90%,10%,0%,60%,90%,20%,10%,90%,70%,90%,100%,90%,70%,40%,10%,10%,0%,0%,100%,100%,90%,30%,90%,70%,30%,10%,0%,30%,20%,20%,20%,90%,80%,80%,40%,90%,10%,60%,20%,50%,20%,50%,10%,10%,0%,0%,20%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F147,90%,70%,30%,60%,0%,20%,90%,90%,10%,40%,40%,0%,80%,,50%,10%,90%,10%,90%,50%,10%,,,,,,,70%,,,,,100%,,,,,80%,10%,0%,0%,0%,10%,10%,80%,80%,50%,10%,70%,20%,40%,10%,0%,10%,10%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F148,70%,90%,30%,90%,10%,40%,80%,10%,10%,80%,30%,50%,50%,50%,30%,70%,80%,20%,40%,10%,40%,90%,80%,70%,60%,50%,40%,30%,20%,90%,90%,90%,90%,90%,90%,80%,70%,60%,90%,30%,20%,20%,60%,60%,90%,30%,80%,60%,70%,60%,90%,70%,70%,30%,20%,10%,10%,30%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F149,40%,80%,20%,40%,10%,60%,70%,50%,90%,30%,70%,10%,40%,80%,0%,20%,60%,60%,20%,30%,40%,20%,20%,50%,80%,50%,50%,10%,0%,40%,60%,50%,80%,70%,90%,80%,70%,50%,50%,0%,0%,0%,30%,40%,20%,10%,60%,40%,40%,80%,60%,80%,20%,0%,0%,0%,0%,0%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
